Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Muscle Weakness,Dizziness,Runny Nose,Body Pain,Sneezing,Food Poisoning
Joint Pain,Dizziness,Cough,Muscle Weakness,Sneezing,Allergy
Chills,Fever,Sore Throat,Dizziness,Diarrhea,Chikungunya
Chest Pain,Loss of Appetite,Shortness of Breath,Runny Nose,Diarrhea,Food Poisoning
Loss of Appetite,Skin Rash,Headache,Muscle Weakness,Abdominal Pain,Allergy
Chest Pain,Fatigue,Vomiting,Abdominal Pain,Nausea,Dengue
Runny Nose,Chills,Diarrhea,Shortness of Breath,Sneezing,Flu
Skin Rash,Sore Throat,Joint Pain,Muscle Weakness,Shortness of Breath,Flu
Diarrhea,Skin Rash,Fever,Chills,Sore Throat,Typhoid
Abdominal Pain,Dizziness,Chest Pain,Shortness of Breath,Muscle Weakness,Tuberculosis
Abdominal Pain,Chest Pain,High Fever,Sore Throat,Muscle Weakness,Food Poisoning
Sneezing,Chills,Swelling,Fatigue,Runny Nose,Asthma
Skin Rash,Sore Throat,Joint Pain,Vomiting,Shortness of Breath,Flu
Nausea,Sweating,Cough,Chest Pain,Fever,Flu
High Fever,Sneezing,Sore Throat,Chest Pain,Shortness of Breath,Asthma
Muscle Weakness,High Fever,Swelling,Sore Throat,Chills,COVID-19
Joint Pain,Abdominal Pain,Skin Rash,Loss of Appetite,Chest Pain,Cold
Chest Pain,Chills,Abdominal Pain,Body Pain,Runny Nose,Cold
Sore Throat,Swelling,Joint Pain,Muscle Weakness,Skin Rash,Cold
Sore Throat,Runny Nose,Skin Rash,Loss of Appetite,Fever,Bronchitis
Chills,Diarrhea,Skin Rash,Nausea,Body Pain,Tuberculosis
Headache,Joint Pain,High Fever,Vomiting,Abdominal Pain,Malaria
Joint Pain,Sweating,Sneezing,Sore Throat,Skin Rash,Pneumonia
Swelling,Cough,Sweating,Body Pain,Chills,Malaria
Skin Rash,Fever,Vomiting,Body Pain,Fatigue,Flu
Skin Rash,Swelling,Diarrhea,Fatigue,Abdominal Pain,Malaria
Shortness of Breath,Fever,Body Pain,Diarrhea,Chills,Tuberculosis
Vomiting,Fever,Dizziness,High Fever,Abdominal Pain,Bronchitis
Loss of Appetite,Muscle Weakness,Sweating,Shortness of Breath,Skin Rash,Bronchitis
Dizziness,Cough,Runny Nose,High Fever,Body Pain,Allergy
Nausea,Fatigue,Loss of Appetite,Sore Throat,Headache,Chikungunya
Runny Nose,Shortness of Breath,High Fever,Diarrhea,Loss of Appetite,Allergy
Runny Nose,Dizziness,High Fever,Shortness of Breath,Cough,Cold
Muscle Weakness,Sore Throat,Abdominal Pain,Joint Pain,Diarrhea,Pneumonia
Joint Pain,Skin Rash,Fever,Vomiting,Chills,Tuberculosis
Vomiting,Runny Nose,Headache,Skin Rash,Chest Pain,Asthma
Nausea,Muscle Weakness,Sneezing,Abdominal Pain,Dizziness,Malaria
Skin Rash,Nausea,Chest Pain,Sore Throat,Vomiting,Flu
Chills,Fever,Nausea,Chest Pain,Cough,Chikungunya
Chills,High Fever,Loss of Appetite,Chest Pain,Skin Rash,Chikungunya
Dizziness,Abdominal Pain,Nausea,Sore Throat,Diarrhea,Dengue
Fever,Chills,Sweating,Sore Throat,Headache,Tuberculosis
Diarrhea,Nausea,Loss of Appetite,Shortness of Breath,Chills,Asthma
Sneezing,Shortness of Breath,Muscle Weakness,Diarrhea,Body Pain,Allergy
Headache,Swelling,Joint Pain,Fever,Runny Nose,Food Poisoning
Abdominal Pain,Cough,Runny Nose,Joint Pain,Vomiting,Tuberculosis
Skin Rash,High Fever,Fever,Chest Pain,Sneezing,Tuberculosis
Dizziness,High Fever,Diarrhea,Sneezing,Fever,Malaria
Headache,Shortness of Breath,Muscle Weakness,Vomiting,Swelling,Flu
Swelling,Fever,Headache,Nausea,Skin Rash,Chikungunya
Abdominal Pain,Sweating,Skin Rash,Swelling,Dizziness,Allergy
Diarrhea,Runny Nose,Fever,High Fever,Headache,Cold
Vomiting,Shortness of Breath,High Fever,Sore Throat,Runny Nose,Chikungunya
Body Pain,Muscle Weakness,Chest Pain,Skin Rash,Nausea,Dengue
Body Pain,Fever,Chills,Loss of Appetite,Abdominal Pain,Chikungunya
Fatigue,Sore Throat,Swelling,Sweating,Runny Nose,Dengue
Fever,Chills,Joint Pain,Dizziness,Muscle Weakness,Allergy
Fatigue,High Fever,Headache,Skin Rash,Sweating,COVID-19
Swelling,Runny Nose,Diarrhea,Fatigue,Dizziness,Allergy
Muscle Weakness,Skin Rash,Fatigue,Abdominal Pain,Runny Nose,Tuberculosis
Fatigue,Swelling,Nausea,Dizziness,Headache,Chikungunya
Fever,Nausea,Sweating,Chest Pain,Body Pain,Dengue
Loss of Appetite,Runny Nose,Sweating,Sneezing,Skin Rash,Flu
High Fever,Fever,Swelling,Muscle Weakness,Chills,Malaria
Sweating,Cough,Abdominal Pain,Headache,Joint Pain,Allergy
Abdominal Pain,Dizziness,Headache,Vomiting,Fatigue,Cold
Fever,Dizziness,Sneezing,Skin Rash,Sore Throat,Chikungunya
Sweating,Fever,Skin Rash,Swelling,Cough,COVID-19
Swelling,Runny Nose,Sweating,Diarrhea,Fatigue,Bronchitis
Loss of Appetite,Sore Throat,Abdominal Pain,Chills,Dizziness,Malaria
Dizziness,Abdominal Pain,Vomiting,Joint Pain,Cough,Cold
Fever,Diarrhea,Body Pain,Joint Pain,Sore Throat,Food Poisoning
Swelling,Sweating,Headache,Dizziness,Muscle Weakness,Food Poisoning
Dizziness,Loss of Appetite,Joint Pain,Body Pain,Fatigue,Malaria
Skin Rash,Body Pain,Muscle Weakness,Nausea,Runny Nose,Flu
Chills,Chest Pain,Joint Pain,Runny Nose,Sneezing,Malaria
Skin Rash,Abdominal Pain,Cough,Diarrhea,Shortness of Breath,COVID-19
Sneezing,Sore Throat,Runny Nose,Diarrhea,Muscle Weakness,Allergy
Joint Pain,Chest Pain,Abdominal Pain,Fatigue,Loss of Appetite,Tuberculosis
Joint Pain,Shortness of Breath,Fatigue,Headache,Diarrhea,COVID-19
Diarrhea,High Fever,Chills,Joint Pain,Headache,Food Poisoning
Nausea,Skin Rash,Sneezing,Cough,Chest Pain,Pneumonia
Loss of Appetite,Sore Throat,Diarrhea,Swelling,Shortness of Breath,Flu
Diarrhea,Sore Throat,Sweating,Sneezing,Skin Rash,Typhoid
Vomiting,Joint Pain,Fatigue,Runny Nose,Shortness of Breath,Typhoid
Body Pain,Chest Pain,Skin Rash,High Fever,Joint Pain,Food Poisoning
Shortness of Breath,Skin Rash,Sneezing,Diarrhea,Fatigue,Cold
Fever,Dizziness,Loss of Appetite,Sore Throat,Skin Rash,Food Poisoning
Chills,High Fever,Shortness of Breath,Abdominal Pain,Headache,Pneumonia
Chest Pain,Sneezing,Sweating,Headache,Nausea,Bronchitis
Vomiting,Sneezing,Nausea,Sore Throat,Fatigue,Malaria
Vomiting,Shortness of Breath,Body Pain,Runny Nose,High Fever,Typhoid
Diarrhea,Loss of Appetite,Headache,Nausea,Swelling,Dengue
Sneezing,Fever,Diarrhea,Muscle Weakness,Fatigue,Malaria
Joint Pain,Dizziness,Muscle Weakness,Abdominal Pain,Headache,Allergy
Dizziness,Nausea,Sore Throat,Abdominal Pain,Swelling,Typhoid
Abdominal Pain,Loss of Appetite,Joint Pain,High Fever,Chest Pain,COVID-19
Fatigue,Vomiting,Runny Nose,Sore Throat,Chest Pain,COVID-19
Shortness of Breath,Runny Nose,Fatigue,Vomiting,Loss of Appetite,Allergy
Runny Nose,Sore Throat,Shortness of Breath,Abdominal Pain,Dizziness,Tuberculosis
Loss of Appetite,Muscle Weakness,Swelling,Sweating,Nausea,Allergy
Nausea,Skin Rash,Diarrhea,Joint Pain,Runny Nose,Malaria
Swelling,Headache,High Fever,Loss of Appetite,Cough,Flu
Chills,Skin Rash,Dizziness,Loss of Appetite,Diarrhea,COVID-19
Diarrhea,Muscle Weakness,Chills,Dizziness,Runny Nose,Flu
Chills,Abdominal Pain,Joint Pain,Skin Rash,Body Pain,Dengue
High Fever,Sneezing,Fever,Abdominal Pain,Swelling,Pneumonia
Vomiting,Loss of Appetite,Cough,Joint Pain,Skin Rash,Food Poisoning
Runny Nose,Dizziness,Vomiting,Shortness of Breath,Chills,Bronchitis
Diarrhea,High Fever,Dizziness,Abdominal Pain,Nausea,Dengue
Muscle Weakness,Vomiting,Sneezing,Body Pain,Chest Pain,Flu
Loss of Appetite,Diarrhea,Nausea,Skin Rash,Sore Throat,Chikungunya
Sore Throat,High Fever,Nausea,Fever,Sneezing,COVID-19
Chills,Dizziness,High Fever,Headache,Shortness of Breath,Allergy
Dizziness,Skin Rash,Joint Pain,High Fever,Nausea,Chikungunya
Cough,Sneezing,Muscle Weakness,Joint Pain,Runny Nose,COVID-19
Body Pain,Cough,Sneezing,Muscle Weakness,Loss of Appetite,Pneumonia
Vomiting,Swelling,Chest Pain,Diarrhea,Skin Rash,Tuberculosis
Swelling,Chills,Muscle Weakness,High Fever,Skin Rash,Pneumonia
Fatigue,Sneezing,Body Pain,Loss of Appetite,High Fever,Dengue
Skin Rash,Fatigue,Nausea,Sweating,Sore Throat,Typhoid
Diarrhea,Fever,Nausea,Headache,Vomiting,Flu
Abdominal Pain,Loss of Appetite,High Fever,Fever,Chills,Typhoid
High Fever,Diarrhea,Nausea,Joint Pain,Chest Pain,Typhoid
Chills,Shortness of Breath,Body Pain,Diarrhea,Vomiting,Pneumonia
Vomiting,Sweating,Fatigue,Sneezing,Nausea,Chikungunya
Dizziness,Fever,Joint Pain,Runny Nose,Nausea,Dengue
Shortness of Breath,Chills,Abdominal Pain,Joint Pain,Muscle Weakness,Pneumonia
Swelling,Runny Nose,Fatigue,Chills,Dizziness,COVID-19
Loss of Appetite,Fatigue,Sneezing,Cough,Skin Rash,Dengue
Skin Rash,High Fever,Vomiting,Sore Throat,Headache,Allergy
Loss of Appetite,Runny Nose,Abdominal Pain,High Fever,Fatigue,Flu
Dizziness,Skin Rash,Loss of Appetite,Nausea,Vomiting,Cold
High Fever,Swelling,Nausea,Fatigue,Dizziness,Flu
Abdominal Pain,Chest Pain,Cough,Vomiting,Sore Throat,COVID-19
Swelling,Muscle Weakness,High Fever,Joint Pain,Runny Nose,Cold
Abdominal Pain,Sweating,Diarrhea,Dizziness,Fatigue,Bronchitis
Sore Throat,Sweating,Fatigue,Sneezing,Headache,Tuberculosis
Shortness of Breath,Cough,Sweating,Sneezing,Nausea,Cold
Swelling,High Fever,Shortness of Breath,Chest Pain,Fever,Bronchitis
Sneezing,Fatigue,Headache,Cough,Chills,Flu
Cough,Diarrhea,Muscle Weakness,Fever,Dizziness,Flu
Vomiting,Cough,Abdominal Pain,Chest Pain,Diarrhea,Bronchitis
Joint Pain,Shortness of Breath,Chest Pain,Fatigue,Skin Rash,Bronchitis
Swelling,Muscle Weakness,Cough,Joint Pain,Vomiting,Asthma
Joint Pain,Vomiting,Cough,Fatigue,Chills,Tuberculosis
Loss of Appetite,Chest Pain,Cough,Vomiting,Chills,Typhoid
Sweating,Chest Pain,High Fever,Sore Throat,Fever,COVID-19
Sneezing,Skin Rash,Sweating,Chills,Loss of Appetite,Food Poisoning
High Fever,Shortness of Breath,Sore Throat,Sneezing,Abdominal Pain,Food Poisoning
Fever,Diarrhea,Abdominal Pain,Skin Rash,Muscle Weakness,Dengue
Abdominal Pain,Loss of Appetite,Skin Rash,Muscle Weakness,Headache,Asthma
Chills,High Fever,Runny Nose,Shortness of Breath,Muscle Weakness,Pneumonia
Shortness of Breath,Cough,Sneezing,Loss of Appetite,Skin Rash,COVID-19
Chest Pain,Skin Rash,Headache,Loss of Appetite,Swelling,Cold
Runny Nose,Body Pain,Dizziness,Sweating,Diarrhea,Typhoid
Abdominal Pain,Diarrhea,Sore Throat,Runny Nose,Body Pain,Chikungunya
Sore Throat,Fatigue,Fever,Chills,Skin Rash,Food Poisoning
Shortness of Breath,Body Pain,Skin Rash,Loss of Appetite,Headache,Tuberculosis
Dizziness,Joint Pain,Muscle Weakness,High Fever,Vomiting,Tuberculosis
Sweating,Joint Pain,Chest Pain,Dizziness,Fatigue,Chikungunya
Joint Pain,High Fever,Loss of Appetite,Dizziness,Sneezing,Flu
Sweating,Abdominal Pain,Cough,Swelling,Dizziness,Dengue
Shortness of Breath,Chest Pain,Runny Nose,Body Pain,Skin Rash,Allergy
Abdominal Pain,Chest Pain,Headache,Fever,Shortness of Breath,Food Poisoning
Chest Pain,Sore Throat,Sneezing,Abdominal Pain,Chills,Food Poisoning
Fatigue,High Fever,Skin Rash,Sweating,Sneezing,Pneumonia
Muscle Weakness,Body Pain,Cough,Swelling,Shortness of Breath,Tuberculosis
Diarrhea,Loss of Appetite,Sweating,Sore Throat,Cough,Flu
Sore Throat,Fever,Cough,Chills,Chest Pain,Allergy
Runny Nose,Cough,High Fever,Dizziness,Joint Pain,COVID-19
Muscle Weakness,Abdominal Pain,Cough,Joint Pain,Runny Nose,Allergy
Sneezing,Headache,Nausea,Sore Throat,Diarrhea,Typhoid
Body Pain,Runny Nose,Abdominal Pain,Diarrhea,Headache,Cold
Chills,Dizziness,Vomiting,Fever,Joint Pain,Dengue
Runny Nose,Skin Rash,Sneezing,High Fever,Swelling,Allergy
Abdominal Pain,Joint Pain,Shortness of Breath,Sneezing,Dizziness,Tuberculosis
Skin Rash,Chills,Loss of Appetite,Dizziness,Cough,Typhoid
Swelling,Headache,Muscle Weakness,Abdominal Pain,Skin Rash,Malaria
Dizziness,Sweating,Fatigue,Runny Nose,Muscle Weakness,Tuberculosis
Fatigue,Chest Pain,Abdominal Pain,Sore Throat,Chills,Dengue
Vomiting,Fatigue,Abdominal Pain,Diarrhea,Nausea,Pneumonia
Cough,Loss of Appetite,Runny Nose,Muscle Weakness,Fatigue,Typhoid
Nausea,Sneezing,Fatigue,Fever,Cough,COVID-19
Body Pain,Abdominal Pain,Sneezing,Loss of Appetite,Swelling,Dengue
Diarrhea,Body Pain,Fever,Nausea,Abdominal Pain,Asthma
Fever,Sore Throat,Abdominal Pain,Shortness of Breath,Dizziness,Typhoid
Chills,Body Pain,Cough,Sweating,High Fever,Bronchitis
Shortness of Breath,Vomiting,Sweating,High Fever,Dizziness,Asthma
Abdominal Pain,Chest Pain,Nausea,Vomiting,Dizziness,COVID-19
Joint Pain,Runny Nose,Muscle Weakness,Headache,Body Pain,Bronchitis
Cough,Fatigue,Runny Nose,Body Pain,Sweating,Typhoid
Chest Pain,Sneezing,Nausea,High Fever,Fatigue,Flu
Chest Pain,Dizziness,Skin Rash,Diarrhea,Sweating,Flu
Headache,Sore Throat,Sneezing,Chest Pain,Loss of Appetite,Tuberculosis
Muscle Weakness,Sneezing,Cough,Sweating,Fatigue,Cold
Abdominal Pain,Cough,Body Pain,Chills,Sore Throat,Allergy
Fatigue,Sore Throat,Cough,Skin Rash,Chest Pain,Allergy
Joint Pain,Sneezing,Diarrhea,Swelling,Muscle Weakness,COVID-19
High Fever,Chest Pain,Dizziness,Loss of Appetite,Sneezing,Food Poisoning
Loss of Appetite,Swelling,Chest Pain,Joint Pain,Headache,Typhoid
Chest Pain,High Fever,Headache,Shortness of Breath,Skin Rash,Malaria
Shortness of Breath,Fatigue,Cough,Swelling,Joint Pain,Typhoid
Chest Pain,Swelling,Fever,Shortness of Breath,Runny Nose,Pneumonia
Body Pain,Chest Pain,Diarrhea,Cough,Sore Throat,Asthma
Vomiting,Sore Throat,Sneezing,Nausea,Body Pain,Malaria
Loss of Appetite,Vomiting,Fever,High Fever,Swelling,Malaria
Cough,Swelling,Vomiting,Fever,Chills,Flu
Joint Pain,Runny Nose,Diarrhea,Headache,Swelling,Food Poisoning
Body Pain,Skin Rash,Nausea,Dizziness,Shortness of Breath,COVID-19
Sore Throat,Sneezing,Swelling,Chills,Sweating,Flu
Fatigue,Muscle Weakness,High Fever,Runny Nose,Body Pain,Malaria
Sweating,Fatigue,Fever,Sore Throat,Runny Nose,Food Poisoning
Headache,High Fever,Dizziness,Chills,Fever,Flu
Nausea,Dizziness,Joint Pain,Sore Throat,Body Pain,Cold
Swelling,Joint Pain,Shortness of Breath,Vomiting,Cough,Dengue
Abdominal Pain,Vomiting,Loss of Appetite,Nausea,Swelling,Typhoid
Sore Throat,Loss of Appetite,Dizziness,Chills,Swelling,Cold
Fatigue,Loss of Appetite,Chest Pain,Muscle Weakness,Sneezing,Flu
Headache,Joint Pain,Shortness of Breath,Vomiting,Muscle Weakness,Flu
Fever,Muscle Weakness,Skin Rash,Swelling,Nausea,Pneumonia
Headache,Body Pain,Vomiting,High Fever,Nausea,Bronchitis
Abdominal Pain,Sore Throat,High Fever,Body Pain,Dizziness,Flu
Cough,Shortness of Breath,Loss of Appetite,Fever,Sweating,Asthma
Sore Throat,Chest Pain,Cough,Fatigue,Runny Nose,Flu
Loss of Appetite,Headache,Swelling,Diarrhea,Sweating,Dengue
Muscle Weakness,Vomiting,Loss of Appetite,Diarrhea,Sore Throat,Cold
Fatigue,Muscle Weakness,Nausea,Fever,Sneezing,Chikungunya
Sore Throat,High Fever,Sneezing,Runny Nose,Cough,COVID-19
Diarrhea,Vomiting,Chest Pain,High Fever,Shortness of Breath,Malaria
Sore Throat,High Fever,Nausea,Muscle Weakness,Fever,Typhoid
Joint Pain,Cough,Shortness of Breath,Chills,Muscle Weakness,Tuberculosis
Muscle Weakness,Vomiting,Sore Throat,Cough,Sneezing,Chikungunya
Skin Rash,Sweating,Loss of Appetite,Joint Pain,Fatigue,Dengue
Headache,Chest Pain,Fatigue,Runny Nose,Abdominal Pain,COVID-19
Sweating,Chills,Loss of Appetite,Cough,Joint Pain,Pneumonia
Sweating,Shortness of Breath,High Fever,Joint Pain,Abdominal Pain,Pneumonia
Muscle Weakness,Fever,Runny Nose,High Fever,Swelling,COVID-19
Abdominal Pain,Sneezing,Nausea,Chills,High Fever,Bronchitis
Shortness of Breath,Swelling,Skin Rash,Sore Throat,Vomiting,Flu
Joint Pain,Sore Throat,Body Pain,Sneezing,Loss of Appetite,Pneumonia
Fatigue,Vomiting,Swelling,Runny Nose,Loss of Appetite,Dengue
Shortness of Breath,Cough,Nausea,Skin Rash,Vomiting,Flu
Sore Throat,Fever,Headache,Abdominal Pain,Cough,Malaria
Shortness of Breath,Joint Pain,High Fever,Loss of Appetite,Nausea,Malaria
Joint Pain,Sweating,Loss of Appetite,Swelling,Cough,Flu
Body Pain,Shortness of Breath,Chills,Loss of Appetite,Diarrhea,Bronchitis
Swelling,Loss of Appetite,Sneezing,Shortness of Breath,High Fever,Chikungunya
Sore Throat,Fatigue,Dizziness,Nausea,Cough,Dengue
Sneezing,Swelling,Chest Pain,High Fever,Sweating,Malaria
Nausea,Swelling,Chills,Sneezing,Sore Throat,Cold
Body Pain,Shortness of Breath,Diarrhea,Dizziness,High Fever,Tuberculosis
Skin Rash,Joint Pain,Shortness of Breath,Diarrhea,Abdominal Pain,Chikungunya
Skin Rash,High Fever,Sweating,Cough,Loss of Appetite,Typhoid
Sore Throat,Headache,Sweating,Abdominal Pain,Vomiting,Cold
Muscle Weakness,High Fever,Sweating,Body Pain,Nausea,Bronchitis
Muscle Weakness,Sore Throat,Diarrhea,Cough,Chest Pain,Typhoid
Joint Pain,Chest Pain,Chills,Nausea,Body Pain,COVID-19
Sweating,Loss of Appetite,Fatigue,Runny Nose,Muscle Weakness,Food Poisoning
Cough,High Fever,Chills,Chest Pain,Skin Rash,COVID-19
Headache,Diarrhea,Vomiting,Runny Nose,Shortness of Breath,Chikungunya
Skin Rash,Diarrhea,Swelling,Sweating,Cough,Malaria
Skin Rash,Dizziness,Abdominal Pain,Shortness of Breath,Muscle Weakness,Chikungunya
Body Pain,Skin Rash,Vomiting,Chest Pain,Muscle Weakness,Cold
Vomiting,Muscle Weakness,Joint Pain,Sore Throat,Abdominal Pain,Malaria
Body Pain,Fever,Diarrhea,Fatigue,Loss of Appetite,Malaria
Abdominal Pain,Swelling,Fatigue,Fever,Sneezing,Dengue
Chills,Swelling,High Fever,Vomiting,Sore Throat,Tuberculosis
Cough,Body Pain,Chills,Skin Rash,Fever,Dengue
Muscle Weakness,Runny Nose,Shortness of Breath,Dizziness,Joint Pain,COVID-19
Fatigue,Fever,High Fever,Cough,Runny Nose,Bronchitis
Loss of Appetite,Skin Rash,Swelling,Fever,Runny Nose,Food Poisoning
Muscle Weakness,Swelling,Runny Nose,Loss of Appetite,Headache,Allergy
Shortness of Breath,Vomiting,Dizziness,Headache,Chills,Asthma
Dizziness,Runny Nose,Muscle Weakness,Shortness of Breath,Sweating,COVID-19
Swelling,Chest Pain,Loss of Appetite,Nausea,Fever,Bronchitis
Headache,Diarrhea,Runny Nose,Joint Pain,Body Pain,Asthma
Runny Nose,Cough,Fatigue,Diarrhea,Joint Pain,Cold
Swelling,Cough,Chest Pain,Muscle Weakness,Sneezing,Bronchitis
Shortness of Breath,High Fever,Runny Nose,Cough,Dizziness,Typhoid
Body Pain,Joint Pain,Diarrhea,Chills,Dizziness,Tuberculosis
Runny Nose,Swelling,Skin Rash,Fever,Dizziness,Dengue
High Fever,Shortness of Breath,Swelling,Chest Pain,Abdominal Pain,Cold
Headache,High Fever,Swelling,Muscle Weakness,Fever,Chikungunya
Diarrhea,Vomiting,Sweating,Joint Pain,Shortness of Breath,Cold
Chest Pain,Cough,Abdominal Pain,Loss of Appetite,Diarrhea,Dengue
Chest Pain,High Fever,Muscle Weakness,Shortness of Breath,Body Pain,COVID-19
Nausea,Fatigue,Diarrhea,Sweating,Fever,Allergy
High Fever,Chest Pain,Sneezing,Nausea,Body Pain,Pneumonia
Cough,Sore Throat,Chest Pain,Muscle Weakness,Fever,Allergy
Muscle Weakness,Vomiting,Sneezing,Joint Pain,Body Pain,Tuberculosis
Sweating,Fever,Sore Throat,Muscle Weakness,Dizziness,Dengue
Runny Nose,Shortness of Breath,Joint Pain,Abdominal Pain,Cough,Tuberculosis
Vomiting,Joint Pain,Skin Rash,Chills,Abdominal Pain,Pneumonia
Cough,High Fever,Fever,Muscle Weakness,Skin Rash,Flu
Abdominal Pain,Headache,Chills,Body Pain,Nausea,Chikungunya
Muscle Weakness,Nausea,Skin Rash,Dizziness,Loss of Appetite,Bronchitis
Chest Pain,Fatigue,Loss of Appetite,Muscle Weakness,Diarrhea,Malaria
Headache,Sweating,Cough,Nausea,Fatigue,Food Poisoning
Skin Rash,Muscle Weakness,Shortness of Breath,Vomiting,Nausea,Typhoid
Cough,Vomiting,Headache,Sneezing,Joint Pain,Food Poisoning
Joint Pain,Abdominal Pain,Sneezing,Diarrhea,Skin Rash,Food Poisoning
Diarrhea,Skin Rash,Cough,Sweating,Vomiting,Flu
Skin Rash,Fever,Chills,Cough,Sweating,Cold
Headache,Sore Throat,Swelling,Vomiting,Fatigue,Cold
Diarrhea,Cough,Fatigue,Vomiting,Headache,Dengue
Body Pain,Chills,Abdominal Pain,Skin Rash,Sneezing,Chikungunya
Vomiting,Dizziness,Sweating,Diarrhea,Headache,Cold
Diarrhea,Cough,Vomiting,Dizziness,Sore Throat,Flu
Loss of Appetite,Sore Throat,Chills,Shortness of Breath,Diarrhea,Flu
Runny Nose,Muscle Weakness,Skin Rash,Chest Pain,High Fever,Allergy
Fatigue,Swelling,Vomiting,High Fever,Shortness of Breath,Typhoid
Chills,Sore Throat,Cough,Sneezing,Fatigue,Pneumonia
Skin Rash,Nausea,Sweating,Chills,Loss of Appetite,Food Poisoning
Fatigue,Muscle Weakness,High Fever,Dizziness,Sweating,Chikungunya
Sweating,Joint Pain,Chest Pain,Abdominal Pain,Muscle Weakness,Flu
Skin Rash,Dizziness,Swelling,Runny Nose,Joint Pain,Dengue
Swelling,Fever,Sweating,Joint Pain,Body Pain,Chikungunya
Fever,Swelling,Abdominal Pain,Joint Pain,Vomiting,Cold
Runny Nose,Swelling,Nausea,Dizziness,Chills,Cold
Sneezing,Sweating,Joint Pain,Cough,Abdominal Pain,Cold
Fever,High Fever,Muscle Weakness,Body Pain,Runny Nose,Bronchitis
High Fever,Fever,Fatigue,Vomiting,Shortness of Breath,Flu
Sweating,Fever,Runny Nose,Nausea,Loss of Appetite,Flu
Vomiting,Cough,Diarrhea,Nausea,High Fever,Dengue
Skin Rash,Fever,Headache,Abdominal Pain,Cough,COVID-19
Joint Pain,High Fever,Fatigue,Muscle Weakness,Skin Rash,Flu
Abdominal Pain,Body Pain,Cough,Nausea,Sneezing,Dengue
Fever,Fatigue,Diarrhea,Headache,Sweating,Food Poisoning
Joint Pain,Sweating,Headache,Diarrhea,Skin Rash,Food Poisoning
Sneezing,Sweating,Muscle Weakness,Shortness of Breath,Chills,COVID-19
High Fever,Loss of Appetite,Fever,Skin Rash,Sore Throat,Asthma
Dizziness,Muscle Weakness,Sore Throat,Sneezing,Cough,Food Poisoning
Joint Pain,Loss of Appetite,Swelling,Chills,Sore Throat,Chikungunya
Swelling,Fever,Joint Pain,Runny Nose,Body Pain,Asthma
Muscle Weakness,Sore Throat,Chills,Headache,Chest Pain,Malaria
Sore Throat,Swelling,Cough,Abdominal Pain,Loss of Appetite,Typhoid
Headache,Sweating,Nausea,Abdominal Pain,Chest Pain,Allergy
Cough,High Fever,Skin Rash,Nausea,Headache,Allergy
High Fever,Fever,Diarrhea,Loss of Appetite,Sneezing,Typhoid
Chills,Fever,Fatigue,Body Pain,Swelling,Dengue
Muscle Weakness,High Fever,Nausea,Sweating,Dizziness,Tuberculosis
Chills,High Fever,Muscle Weakness,Swelling,Fatigue,Food Poisoning
Runny Nose,Abdominal Pain,Chest Pain,Dizziness,Shortness of Breath,COVID-19
Nausea,Loss of Appetite,Diarrhea,Skin Rash,Runny Nose,Chikungunya
Shortness of Breath,Fever,Joint Pain,Headache,Skin Rash,Bronchitis
Loss of Appetite,Fatigue,Skin Rash,Diarrhea,Chills,Typhoid
Skin Rash,Muscle Weakness,High Fever,Fever,Runny Nose,Allergy
Sneezing,Body Pain,Fever,Cough,Fatigue,Bronchitis
Vomiting,Cough,Muscle Weakness,Dizziness,Sore Throat,Allergy
Chills,Headache,Fatigue,Swelling,Vomiting,Tuberculosis
Shortness of Breath,Diarrhea,Joint Pain,Vomiting,Abdominal Pain,Bronchitis
Shortness of Breath,Joint Pain,Fever,Chest Pain,Sneezing,Malaria
Abdominal Pain,Swelling,Body Pain,Vomiting,Chest Pain,Typhoid
Chills,Fever,Swelling,Sneezing,Headache,Asthma
Chest Pain,Loss of Appetite,Vomiting,Skin Rash,Sneezing,Typhoid
