Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
Dehydration,Fever,Weakness,Diarrhea,Bloody diarrhea,Food Poisoning,Hamster
Nausea,Dehydration,Weakness,Bloody diarrhea,Vomiting,Food Poisoning,Fowl
Persistent cough with mucus,Chest discomfort,Wheezing,Chills,Mild fever,Bronchitis,Tiger
Loss of appetite,Night sweats,Persistent cough,Blood in cough,Fever (evening),Tuberculosis,Sheep
Mild fever,Fatigue,Wheezing,Chest discomfort,Chills,Bronchitis,Moos
Fatigue,Rash,Mild bleeding,Pain behind the eyes,Severe headache,Dengue,Tiger
Night sweats,Persistent cough,Loss of appetite,Fatigue,Fever (evening),Tuberculosis,Rabbit
Fatigue,Loss of taste or smell,Congestion,Muscle aches,Shortness of breath,COVID-19,Chicken
Shortness of breath,Chest tightness,Wheezing,Coughing,None,Asthma,Lion
Sore throat,Chills,Diarrhea,Muscle or body aches,Headache,Flu,Sheep
Chest pain,Cough with phlegm,Shortness of breath,Confusion,Fatigue,Pneumonia,Hamster
Vomiting,Dry Cough,Chills,Headache,Diarrhea,Flu,Sheep
Dehydration,Weakness,Diarrhea,Nausea,Vomiting,Food Poisoning,Fowl
Shortness of breath,Muscle aches,Nausea,Dry cough,Chills,COVID-19,Wolves
Chest pain,High fever,Shortness of breath,Cough with phlegm,Confusion,Pneumonia,Chicken
Shortness of breath,Congestion,Nausea,Dry cough,Loss of taste or smell,COVID-19,Snake
Jaundice,Nausea,Vomiting,Muscle pain,High fever with chills,Malaria,Donkey
Headache,Dry Cough,Fatigue,Vomiting,Chills,Flu,Sheep
Confusion,Chills,High fever,Cough with phlegm,Shortness of breath,Pneumonia,Birds
Fatigue,Severe headache,Mild bleeding,Rash,Muscle and joint pain,Dengue,Buffaloes
Sudden high fever,Dengue Hemorrhagic Fever,Mild bleeding,Severe headache,Pain behind the eyes,Dengue,Fowl
Mild bleeding,Muscle and joint pain,Sudden high fever,Rash,Pain behind the eyes,Dengue,Fox
Persistent cough with mucus,Chills,Chest discomfort,Mild fever,Wheezing,Bronchitis,Chicken
Mild fever,Runny nose,Mild cough,Sneezing,Mild fatigue,Cold,Pig
Chills,Shortness of breath,Sore throat,Dry cough,Congestion,COVID-19,Cattle
Rash,Fatigue,Muscle and joint pain,Mild bleeding,Sudden high fever,Dengue,Fowl
Nausea,Anemia,High fever with chills,Muscle pain,Fatigue,Malaria,Cat
Fever (evening),Night sweats,Persistent cough,Blood in cough,Weight loss,Tuberculosis,Duck
Chills,Diarrhea,Sore throat,Fever,Loss of taste or smell,COVID-19,Dog
Runny nose,Swelling,Skin rash,Sneezing,Itchy eyes,Allergy,Horse
Headache,High fever with chills,Fatigue,Muscle pain,Vomiting,Malaria,Cattle
Shortness of breath,Dry cough,Diarrhea,Fever,Nausea,COVID-19,Fowl
Chills,Fatigue,Wheezing,Mild fever,Chest discomfort,Bronchitis,Sheep
Mild cough,Sneezing,Mild fever,Runny nose,Mild fatigue,Cold,Tiger
Diarrhea,Weakness,Rose-colored spots,Prolonged high fever,Constipation,Typhoid,Wolves
Mild fatigue,Sore throat,Sneezing,Mild fever,Runny nose,Cold,Cow
Anemia,Sweating,Vomiting,High fever with chills,Fatigue,Malaria,Rabbit
Persistent cough,Fatigue,Loss of appetite,Blood in cough,Night sweats,Tuberculosis,Pig
Swelling,Itchy eyes,Sneezing,Skin rash,Runny nose,Allergy,Turtle
Pain behind the eyes,Sudden high fever,Dengue Hemorrhagic Fever,Muscle and joint pain,Mild bleeding,Dengue,Tiger
Mild fever,Chest discomfort,Chills,Fatigue,Persistent cough with mucus,Bronchitis,Donkey
Prolonged high fever,Abdominal pain,Diarrhea,Rose-colored spots,Fatigue,Typhoid,Turtle
Loss of appetite,Weight loss,Persistent cough,Fatigue,Night sweats,Tuberculosis,Goat
Muscle and joint pain,Rash,Fatigue,Sudden high fever,Mild bleeding,Dengue,Fox
Fever (evening),Blood in cough,Fatigue,Night sweats,Persistent cough,Tuberculosis,Dog
Mild fever,Sneezing,Sore throat,Runny nose,Mild fatigue,Cold,Turtle
Runny nose,Sneezing,Swelling,Itchy eyes,Skin rash,Allergy,Monkey
Fever,Stomach cramps,Dehydration,Vomiting,Nausea,Food Poisoning,Moos
Chills,Diarrhea,Sore throat,Fatigue,Fever,COVID-19,Deer
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Tiger
Wheezing,Coughing,Chest tightness,Shortness of breath,None,Asthma,Buffaloes
Fatigue,Rash,Muscle and joint pain,Dengue Hemorrhagic Fever,Mild bleeding,Dengue,Chicken
Loss of appetite,Blood in cough,Night sweats,Fatigue,Weight loss,Tuberculosis,Duck
Sneezing,Itchy eyes,Skin rash,Runny nose,Swelling,Allergy,Donkey
Mild bleeding,Muscle and joint pain,Severe headache,Pain behind the eyes,Fatigue,Dengue,Turtle
Chest pain,High fever,Shortness of breath,Fatigue,Chills,Pneumonia,Sheep
Persistent cough with mucus,Chills,Chest discomfort,Mild fever,Fatigue,Bronchitis,Horse
Runny nose,Headache,Fatigue,Fever,Muscle or body aches,Flu,Deer
Sore throat,Mild cough,Runny nose,Sneezing,Mild fever,Cold,Chicken
Pain behind the eyes,Mild bleeding,Muscle and joint pain,Rash,Fatigue,Dengue,Turtle
Cough with phlegm,Chest pain,Fatigue,Confusion,High fever,Pneumonia,Fowl
Mild cough,Sneezing,Mild fatigue,Sore throat,Mild fever,Cold,Hamster
Coughing,Shortness of breath,Wheezing,Chest tightness,None,Asthma,Horse
Vomiting,Bloody diarrhea,Nausea,Diarrhea,Fever,Food Poisoning,Turtle
Headache,Severe joint pain,Fatigue,High fever,Nausea,Chikungunya,Elephant
Nausea,Dehydration,Vomiting,Fever,Bloody diarrhea,Food Poisoning,Cat
Weight loss,Blood in cough,Loss of appetite,Fatigue,Fever (evening),Tuberculosis,Rabbit
Diarrhea,Vomiting,Runny nose,Headache,Fatigue,Flu,Moos
Shortness of breath,Chest pain,Chills,Confusion,Cough with phlegm,Pneumonia,Turtle
Shortness of breath,Cough with phlegm,Confusion,Chills,Chest pain,Pneumonia,Birds
Diarrhea,Weakness,Vomiting,Nausea,Dehydration,Food Poisoning,Mammal
Chest discomfort,Chills,Wheezing,Persistent cough with mucus,Mild fever,Bronchitis,Hamster
Weakness,Constipation,Rose-colored spots,Diarrhea,Abdominal pain,Typhoid,Horse
Fever,Weakness,Vomiting,Bloody diarrhea,Diarrhea,Food Poisoning,Elephant
Shortness of breath,Chest pain,Confusion,High fever,Cough with phlegm,Pneumonia,Wolves
Sweating,Headache,Nausea,Anemia,Jaundice,Malaria,Monkey
Dengue Hemorrhagic Fever,Sudden high fever,Rash,Fatigue,Severe headache,Dengue,Birds
Sore throat,Mild cough,Mild fatigue,Runny nose,Mild fever,Cold,Tiger
Nausea,Fatigue,High fever,Headache,Severe joint pain,Chikungunya,Buffaloes
High fever,Shortness of breath,Confusion,Chills,Chest pain,Pneumonia,Dog
Muscle aches,Chills,Fatigue,Sore throat,Loss of taste or smell,COVID-19,Deer
Rash,Sudden high fever,Severe headache,Muscle and joint pain,Fatigue,Dengue,Donkey
Skin rash,Itchy eyes,Runny nose,Sneezing,Swelling,Allergy,Donkey
Fatigue,Confusion,Cough with phlegm,Chest pain,Chills,Pneumonia,Donkey
Headache,High fever with chills,Anemia,Jaundice,Sweating,Malaria,Hyaenas
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Hamster
Fatigue,Sudden high fever,Mild bleeding,Severe headache,Rash,Dengue,Duck
Rose-colored spots,Fatigue,Abdominal pain,Prolonged high fever,Weakness,Typhoid,Donkey
Wheezing,Coughing,Chest tightness,Shortness of breath,None,Asthma,Lion
Sore throat,Mild fever,Sneezing,Mild fatigue,Runny nose,Cold,Hamster
Headache,Nausea,Fatigue,Rash,Severe joint pain,Chikungunya,Goat
Chills,Wheezing,Persistent cough with mucus,Chest discomfort,Fatigue,Bronchitis,Mammal
Chills,Fatigue,Wheezing,Mild fever,Chest discomfort,Bronchitis,Mammal
Muscle and joint pain,Pain behind the eyes,Fatigue,Rash,Sudden high fever,Dengue,Turtle
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Duck
Muscle pain,Nausea,Jaundice,Headache,Sweating,Malaria,Birds
Muscle pain,Nausea,High fever with chills,Anemia,Headache,Malaria,Tiger
Fever (evening),Blood in cough,Persistent cough,Night sweats,Weight loss,Tuberculosis,Lion
Chills,Shortness of breath,Confusion,Chest pain,Cough with phlegm,Pneumonia,Mammal
Muscle pain,Vomiting,Nausea,Jaundice,Anemia,Malaria,Goat
Blood in cough,Weight loss,Persistent cough,Loss of appetite,Fever (evening),Tuberculosis,Tiger
Anemia,Vomiting,Headache,Jaundice,High fever with chills,Malaria,Hyaenas
Chills,Diarrhea,Loss of taste or smell,Fever,Muscle aches,COVID-19,Dog
Chills,Cough with phlegm,Shortness of breath,High fever,Chest pain,Pneumonia,Donkey
Fatigue,Rose-colored spots,Constipation,Abdominal pain,Headache,Typhoid,Rabbit
Chest pain,High fever,Fatigue,Cough with phlegm,Confusion,Pneumonia,Mammal
Sore throat,Chills,Dry cough,Fatigue,Shortness of breath,COVID-19,Horse
Rose-colored spots,Abdominal pain,Weakness,Prolonged high fever,Diarrhea,Typhoid,Cattle
Vomiting,Dehydration,Nausea,Bloody diarrhea,Diarrhea,Food Poisoning,Fox
Loss of appetite,Fever (evening),Persistent cough,Fatigue,Blood in cough,Tuberculosis,Cow
Shortness of breath,Fatigue,Confusion,High fever,Cough with phlegm,Pneumonia,Lion
Swelling,Runny nose,Sneezing,Skin rash,Itchy eyes,Allergy,Cat
Weight loss,Persistent cough,Fatigue,Loss of appetite,Blood in cough,Tuberculosis,Lion
Loss of appetite,Fever (evening),Night sweats,Weight loss,Fatigue,Tuberculosis,Monkey
Chest tightness,Wheezing,Shortness of breath,Coughing,None,Asthma,Cattle
Loss of appetite,Fever (evening),Persistent cough,Fatigue,Blood in cough,Tuberculosis,Sheep
Nausea,Headache,Anemia,High fever with chills,Muscle pain,Malaria,Buffaloes
Confusion,Fatigue,High fever,Chills,Cough with phlegm,Pneumonia,Rabbit
Coughing,Shortness of breath,Wheezing,Chest tightness,None,Asthma,Goat
Fatigue,Blood in cough,Loss of appetite,Night sweats,Weight loss,Tuberculosis,Tiger
Chills,Headache,Fatigue,Fever,Diarrhea,Flu,Monkey
Coughing,Shortness of breath,Chest tightness,Wheezing,None,Asthma,Horse
Headache,Weakness,Rose-colored spots,Constipation,Abdominal pain,Typhoid,Hyaenas
Runny nose,Mild fever,Mild fatigue,Mild cough,Sore throat,Cold,Dog
Rash,Pain behind the eyes,Severe headache,Mild bleeding,Sudden high fever,Dengue,Hyaenas
Swelling,Skin rash,Itchy eyes,Runny nose,Sneezing,Allergy,Cow
Dehydration,Bloody diarrhea,Weakness,Fever,Nausea,Food Poisoning,Monkey
Sore throat,Mild fatigue,Sneezing,Runny nose,Mild fever,Cold,Rabbit
Weakness,Prolonged high fever,Fatigue,Abdominal pain,Headache,Typhoid,Lion
Persistent cough,Weight loss,Fatigue,Loss of appetite,Blood in cough,Tuberculosis,Mammal
Fatigue,Abdominal pain,Prolonged high fever,Diarrhea,Weakness,Typhoid,Duck
Loss of appetite,Night sweats,Weight loss,Blood in cough,Persistent cough,Tuberculosis,Rabbit
High fever,Cough with phlegm,Fatigue,Confusion,Shortness of breath,Pneumonia,Buffaloes
Fatigue,Nausea,Anemia,High fever with chills,Headache,Malaria,Tiger
Mild fever,Wheezing,Persistent cough with mucus,Fatigue,Chest discomfort,Bronchitis,Fowl
Runny nose,Skin rash,Swelling,Itchy eyes,Sneezing,Allergy,Dog
Headache,Diarrhea,Fatigue,Dry Cough,Sore throat,Flu,Sheep
High fever with chills,Jaundice,Vomiting,Anemia,Muscle pain,Malaria,Mammal
Nausea,Rash,Muscle pain,Fatigue,High fever,Chikungunya,Buffaloes
Confusion,Chest pain,Fatigue,Cough with phlegm,Chills,Pneumonia,Dog
Sore throat,Mild fever,Runny nose,Mild cough,Mild fatigue,Cold,Turtle
Weakness,Constipation,Prolonged high fever,Headache,Rose-colored spots,Typhoid,Snake
Loss of taste or smell,Fatigue,Fever,Shortness of breath,Muscle aches,COVID-19,Sheep
Nausea,High fever,Muscle pain,Severe joint pain,Rash,Chikungunya,Hyaenas
Swelling,Itchy eyes,Runny nose,Skin rash,Sneezing,Allergy,Deer
Pain behind the eyes,Dengue Hemorrhagic Fever,Mild bleeding,Sudden high fever,Muscle and joint pain,Dengue,Duck
High fever with chills,Nausea,Vomiting,Jaundice,Fatigue,Malaria,Fox
Chest pain,Chills,Confusion,Fatigue,Cough with phlegm,Pneumonia,Wolves
Sneezing,Mild fatigue,Mild fever,Sore throat,Mild cough,Cold,Birds
Sneezing,Mild fatigue,Runny nose,Sore throat,Mild fever,Cold,Fowl
Fatigue,Severe joint pain,High fever,Nausea,Rash,Chikungunya,Moos
Fatigue,Vomiting,Diarrhea,Sore throat,Chills,Flu,Donkey
Chest tightness,Coughing,Shortness of breath,Wheezing,None,Asthma,Turtle
Fatigue,Sweating,Vomiting,Nausea,High fever with chills,Malaria,Deer
Coughing,Chest tightness,Shortness of breath,Wheezing,None,Asthma,Rabbit
Blood in cough,Night sweats,Loss of appetite,Fever (evening),Fatigue,Tuberculosis,Mammal
Mild cough,Sore throat,Mild fatigue,Sneezing,Runny nose,Cold,Goat
Severe headache,Pain behind the eyes,Dengue Hemorrhagic Fever,Fatigue,Sudden high fever,Dengue,Dog
Rose-colored spots,Weakness,Constipation,Headache,Fatigue,Typhoid,Moos
Weakness,Diarrhea,Headache,Prolonged high fever,Abdominal pain,Typhoid,Hyaenas
Sudden high fever,Dengue Hemorrhagic Fever,Fatigue,Muscle and joint pain,Rash,Dengue,Fox
High fever with chills,Sweating,Fatigue,Headache,Muscle pain,Malaria,Dog
Weight loss,Loss of appetite,Fatigue,Fever (evening),Persistent cough,Tuberculosis,Rabbit
Runny nose,Skin rash,Swelling,Itchy eyes,Sneezing,Allergy,Lion
Diarrhea,Headache,Fatigue,Runny nose,Chills,Flu,Monkey
Fatigue,Pain behind the eyes,Mild bleeding,Muscle and joint pain,Sudden high fever,Dengue,Rabbit
Nausea,Stomach cramps,Weakness,Vomiting,Bloody diarrhea,Food Poisoning,Goat
Headache,Rash,Severe joint pain,Nausea,Muscle pain,Chikungunya,Donkey
Fatigue,Pain behind the eyes,Dengue Hemorrhagic Fever,Severe headache,Muscle and joint pain,Dengue,Turtle
Mild bleeding,Fatigue,Sudden high fever,Dengue Hemorrhagic Fever,Rash,Dengue,Fowl
Sudden high fever,Mild bleeding,Severe headache,Muscle and joint pain,Dengue Hemorrhagic Fever,Dengue,Hyaenas
Chills,Chest pain,Fatigue,Cough with phlegm,Shortness of breath,Pneumonia,Buffaloes
Rose-colored spots,Weakness,Headache,Fatigue,Diarrhea,Typhoid,Wolves
Weight loss,Loss of appetite,Blood in cough,Night sweats,Persistent cough,Tuberculosis,Hyaenas
Shortness of breath,Chest tightness,Coughing,Wheezing,None,Asthma,Mammal
Nausea,Rash,Severe joint pain,Headache,Fatigue,Chikungunya,Snake
Dry Cough,Chills,Runny nose,Muscle or body aches,Sore throat,Flu,Birds
Mild fever,Mild cough,Runny nose,Sneezing,Sore throat,Cold,Moos
Diarrhea,Headache,Chills,Vomiting,Muscle or body aches,Flu,Lion
Diarrhea,Vomiting,Headache,Chills,Fever,Flu,Buffaloes
Skin rash,Itchy eyes,Sneezing,Swelling,Runny nose,Allergy,Horse
Muscle pain,Severe joint pain,Nausea,Fatigue,Headache,Chikungunya,Pig
Dehydration,Diarrhea,Nausea,Bloody diarrhea,Vomiting,Food Poisoning,Elephant
Persistent cough with mucus,Chills,Mild fever,Wheezing,Fatigue,Bronchitis,Fox
Weight loss,Blood in cough,Fatigue,Night sweats,Persistent cough,Tuberculosis,Elephant
High fever with chills,Anemia,Headache,Nausea,Muscle pain,Malaria,Hyaenas
Night sweats,Weight loss,Fever (evening),Fatigue,Blood in cough,Tuberculosis,Sheep
Abdominal pain,Fatigue,Diarrhea,Prolonged high fever,Rose-colored spots,Typhoid,Duck
Mild fever,Mild fatigue,Runny nose,Sore throat,Sneezing,Cold,Fowl
Fever (evening),Fatigue,Loss of appetite,Persistent cough,Weight loss,Tuberculosis,Mammal
Fever,Diarrhea,Vomiting,Nausea,Bloody diarrhea,Food Poisoning,Goat
Sneezing,Mild fever,Sore throat,Mild fatigue,Mild cough,Cold,Rabbit
Swelling,Itchy eyes,Sneezing,Skin rash,Runny nose,Allergy,Pig
Fatigue,Congestion,Dry cough,Nausea,Fever,COVID-19,Sheep
Mild fever,Sore throat,Sneezing,Mild cough,Runny nose,Cold,Cow
Fatigue,Cough with phlegm,Confusion,High fever,Chills,Pneumonia,Pig
Loss of appetite,Night sweats,Fever (evening),Blood in cough,Weight loss,Tuberculosis,Hamster
Vomiting,Nausea,Weakness,Stomach cramps,Fever,Food Poisoning,Sheep
Vomiting,Runny nose,Dry Cough,Diarrhea,Muscle or body aches,Flu,Donkey
Fatigue,Fever (evening),Weight loss,Blood in cough,Persistent cough,Tuberculosis,Duck
Itchy eyes,Skin rash,Swelling,Runny nose,Sneezing,Allergy,Fox
Fatigue,Chills,Dry cough,Diarrhea,Nausea,COVID-19,Cattle
Fatigue,Sore throat,Dry Cough,Chills,Muscle or body aches,Flu,Elephant
Sore throat,Mild fever,Runny nose,Sneezing,Mild fatigue,Cold,Turtle
Headache,Muscle pain,High fever,Fatigue,Rash,Chikungunya,Goat
Chest tightness,Wheezing,Coughing,Shortness of breath,None,Asthma,Cat
Dry Cough,Muscle or body aches,Runny nose,Sore throat,Fever,Flu,Cattle
Abdominal pain,Constipation,Prolonged high fever,Rose-colored spots,Headache,Typhoid,Cow
High fever with chills,Muscle pain,Anemia,Vomiting,Fatigue,Malaria,Cat
Headache,Runny nose,Dry Cough,Diarrhea,Sore throat,Flu,Pig
Diarrhea,Headache,Fever,Sore throat,Vomiting,Flu,Snake
Dry Cough,Chills,Vomiting,Sore throat,Runny nose,Flu,Cow
Headache,High fever,Rash,Nausea,Muscle pain,Chikungunya,Tiger
Wheezing,Mild fever,Chills,Fatigue,Persistent cough with mucus,Bronchitis,Snake
Fatigue,Headache,Vomiting,Diarrhea,Fever,Flu,Tiger
Confusion,High fever,Chest pain,Shortness of breath,Chills,Pneumonia,Hamster
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Turtle
High fever,Severe joint pain,Nausea,Fatigue,Rash,Chikungunya,Buffaloes
Chest tightness,Wheezing,Coughing,Shortness of breath,None,Asthma,Dog
Chills,Headache,Runny nose,Fever,Sore throat,Flu,Pig
Fever (evening),Loss of appetite,Fatigue,Blood in cough,Night sweats,Tuberculosis,Wolves
Muscle aches,Nausea,Chills,Dry cough,Loss of taste or smell,COVID-19,Moos
Fatigue,Sweating,Anemia,Jaundice,Muscle pain,Malaria,Cow
Dehydration,Nausea,Vomiting,Weakness,Fever,Food Poisoning,Cat
High fever,Headache,Muscle pain,Fatigue,Nausea,Chikungunya,Hamster
Chills,Cough with phlegm,Shortness of breath,High fever,Fatigue,Pneumonia,Birds
Runny nose,Diarrhea,Dry Cough,Headache,Fatigue,Flu,Cattle
Swelling,Skin rash,Sneezing,Runny nose,Itchy eyes,Allergy,Cow
Weakness,Diarrhea,Fever,Stomach cramps,Dehydration,Food Poisoning,Duck
Nausea,Fatigue,Fever,Loss of taste or smell,Sore throat,COVID-19,Fox
Diarrhea,Chills,Dry cough,Sore throat,Nausea,COVID-19,Chicken
Chills,Chest discomfort,Wheezing,Mild fever,Persistent cough with mucus,Bronchitis,Birds
Stomach cramps,Bloody diarrhea,Vomiting,Diarrhea,Nausea,Food Poisoning,Lion
Dehydration,Fever,Bloody diarrhea,Nausea,Vomiting,Food Poisoning,Cat
Skin rash,Swelling,Itchy eyes,Runny nose,Sneezing,Allergy,Horse
Wheezing,Mild fever,Fatigue,Chills,Chest discomfort,Bronchitis,Chicken
Rash,Severe headache,Muscle and joint pain,Fatigue,Pain behind the eyes,Dengue,Mammal
Severe joint pain,Rash,High fever,Nausea,Headache,Chikungunya,Mammal
Chills,Shortness of breath,Confusion,High fever,Fatigue,Pneumonia,Tiger
Nausea,Fever,Dehydration,Bloody diarrhea,Diarrhea,Food Poisoning,Deer
Diarrhea,Vomiting,Headache,Muscle or body aches,Fever,Flu,Monkey
Mild fever,Runny nose,Sore throat,Sneezing,Mild cough,Cold,Sheep
Sweating,High fever with chills,Anemia,Muscle pain,Fatigue,Malaria,Horse
Chest tightness,Wheezing,Shortness of breath,Coughing,None,Asthma,Snake
Itchy eyes,Runny nose,Swelling,Skin rash,Sneezing,Allergy,Cat
Mild fatigue,Runny nose,Mild cough,Sore throat,Sneezing,Cold,Deer
Loss of appetite,Fatigue,Blood in cough,Night sweats,Persistent cough,Tuberculosis,Horse
Sudden high fever,Severe headache,Mild bleeding,Fatigue,Pain behind the eyes,Dengue,Wolves
Nausea,Fatigue,Headache,Anemia,High fever with chills,Malaria,Deer
Sneezing,Swelling,Runny nose,Skin rash,Itchy eyes,Allergy,Goat
Muscle or body aches,Dry Cough,Fatigue,Vomiting,Headache,Flu,Deer
Diarrhea,Stomach cramps,Bloody diarrhea,Weakness,Fever,Food Poisoning,Tiger
Abdominal pain,Fatigue,Diarrhea,Constipation,Prolonged high fever,Typhoid,Duck
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Dog
Headache,Chills,Diarrhea,Fever,Dry Cough,Flu,Fox
Vomiting,Bloody diarrhea,Stomach cramps,Diarrhea,Weakness,Food Poisoning,Duck
Coughing,Chest tightness,Wheezing,Shortness of breath,None,Asthma,Deer
Prolonged high fever,Constipation,Diarrhea,Weakness,Rose-colored spots,Typhoid,Lion
Prolonged high fever,Diarrhea,Constipation,Rose-colored spots,Fatigue,Typhoid,Birds
Sore throat,Chills,Dry cough,Shortness of breath,Congestion,COVID-19,Lion
Muscle pain,Rash,Nausea,Severe joint pain,High fever,Chikungunya,Turtle
Fatigue,Chills,Runny nose,Vomiting,Headache,Flu,Duck
Shortness of breath,Chest pain,Confusion,Fatigue,High fever,Pneumonia,Horse
Sore throat,Sneezing,Mild fever,Runny nose,Mild fatigue,Cold,Turtle
Shortness of breath,Wheezing,Chest tightness,Coughing,None,Asthma,Deer
Blood in cough,Night sweats,Weight loss,Persistent cough,Fever (evening),Tuberculosis,Cattle
Abdominal pain,Diarrhea,Weakness,Fatigue,Headache,Typhoid,Hamster
High fever,Shortness of breath,Chest pain,Confusion,Chills,Pneumonia,Horse
Severe joint pain,Muscle pain,Headache,Nausea,Rash,Chikungunya,Turtle
Vomiting,High fever with chills,Jaundice,Sweating,Nausea,Malaria,Dog
Dry Cough,Fever,Chills,Sore throat,Diarrhea,Flu,Fox
Itchy eyes,Skin rash,Runny nose,Swelling,Sneezing,Allergy,Wolves
Nausea,Rash,Muscle pain,High fever,Headache,Chikungunya,Cattle
Persistent cough with mucus,Wheezing,Chills,Mild fever,Chest discomfort,Bronchitis,Tiger
Muscle or body aches,Dry Cough,Vomiting,Runny nose,Sore throat,Flu,Cow
Skin rash,Itchy eyes,Runny nose,Sneezing,Swelling,Allergy,Horse
